"rs"	"land"	"abkuerzung"	"typ"	"region"
"08"	"Baden-Württemberg"	"BW"	"Land"	"FW"
"09"	"Bayern"	"BY"	"Land"	"FW"
"11"	"Berlin"	"BE"	"Land"	"ST"
"12"	"Brandenburg"	"BB"	"Land"	"FO"
"04"	"Bremen"	"HB"	"Land"	"ST"
"02"	"Hamburg"	"HH"	"Land"	"ST"
"06"	"Hessen"	"HE"	"Land"	"FW"
"13"	"Mecklenburg-Vorpommern"	"MV"	"Land"	"FO"
"03"	"Niedersachsen"	"NI"	"Land"	"FW"
"05"	"Nordrhein-Westfalen"	"NW"	"Land"	"FW"
"07"	"Rheinland-Pfalz"	"RP"	"Land"	"FW"
"10"	"Saarland"	"SL"	"Land"	"FW"
"14"	"Sachsen"	"SN"	"Land"	"FO"
"15"	"Sachsen-Anhalt"	"ST"	"Land"	"FO"
"01"	"Schleswig-Holstein"	"SH"	"Land"	"FW"
"16"	"Thüringen"	"TH"	"Land"	"FO"
